"CENTAUR","COSMOS","EBONY","ODYSSEY","TOKUGAWA","FinalVote"
"1",0.144480839161715,0.108292936892563,0.0312528639871972,0.278894815270817,0.437078544687708,"TOKUGAWA"
"2",0.67372039283706,0.096349353637325,0.0324014929283649,0.0701197091037143,0.127409051493536,"CENTAUR"
"3",0.837462140442161,0.0301331222969598,0.0106973483838236,0.0617178425981596,0.0599895462788966,"CENTAUR"
"4",0.243254121459119,0.00418424394719525,0.00133995604615676,0.403755960216362,0.347465718331168,"ODYSSEY"
"5",0.0586484736535138,0.06430431459042,0.0159962759581344,0.834631032155074,0.0264199036428584,"ODYSSEY"
"6",0.130320905402264,0.0612803441146001,0.0332607761499785,0.0597563823390309,0.715381591994126,"TOKUGAWA"
"7",0.3236853643468,0.117916267932895,0.0302773607737047,0.457909050763586,0.0702119561830145,"ODYSSEY"
"8",0.839842474334283,0.031128124147684,0.0107839426961587,0.0538330923531539,0.0644123664687202,"CENTAUR"
"9",0.00151180033256394,0.934825377612483,0.0345315493619266,0.0259450062498168,0.00318626644320967,"COSMOS"
"10",0.87908073101729,0.0218209181257264,0.00793187928240766,0.0284609596878953,0.0627055118866802,"CENTAUR"
"11",0.712533297215033,0.0872117025899155,0.0267023926785924,0.101645719795702,0.0719068877207576,"CENTAUR"
"12",0.304252194461514,0.0669117937255255,0.0212855240007704,0.164719120196875,0.442831367615315,"TOKUGAWA"
"13",0.00907816863923898,0.151527814052782,0.788801405522138,0.0390741922722737,0.0115184195135674,"EBONY"
"14",0.0267519704183906,0.0734234755253868,0.0171687856458246,0.862824403302209,0.0198313651081888,"ODYSSEY"
"15",0.837653078868029,0.0278234214789256,0.00904010921169779,0.0565390971500921,0.0689442932912557,"CENTAUR"
"16",0.0222388781000718,0.829938259566571,0.0415318175902274,0.0914060868737918,0.014884957869338,"COSMOS"
"17",0.835345826993378,0.031988377191841,0.0107005217089303,0.0716202796326535,0.0503449944731976,"CENTAUR"
"18",0.0537620654338907,0.054410239974654,0.015280417715015,0.856204078579201,0.0203431982972392,"ODYSSEY"
"19",0.00572935768026919,0.161874964375835,0.768297466177492,0.0551974440020569,0.00890076776434633,"EBONY"
"20",0.0341053790669364,0.101904148105653,0.0245933511579251,0.817692600924775,0.0217045207447105,"ODYSSEY"
"21",0.756220072012363,0.0592080127542612,0.0210070315933917,0.0779664022425365,0.0855984813974471,"CENTAUR"
"22",0.0146571756835709,0.161578367851326,0.0248788159410592,0.771736898643105,0.0271487418809394,"ODYSSEY"
"23",0.816855011133979,0.034781814638465,0.0102949847168632,0.0840023980437975,0.0540657914668956,"CENTAUR"
"24",0.0785231410206128,0.0519732211790138,0.0156293270268737,0.820123000205358,0.0337513105681419,"ODYSSEY"
"25",0.289270867674859,0.0854793799743237,0.0330689293478768,0.145537226388734,0.446643596614207,"TOKUGAWA"
"26",0.00471004495896129,0.938150227821341,0.0431598581121162,0.00842254296051802,0.00555732614706295,"COSMOS"
"27",0.0159605220307965,0.042660186784613,0.0107328677359153,0.920165751739188,0.0104806717094875,"ODYSSEY"
"28",0.030997595745771,0.845223989104234,0.0458884840618371,0.0595469230741982,0.0183430080139599,"COSMOS"
"29",0.311956151202844,0.0670355658427798,0.0212715671700327,0.138524830049308,0.461211885735036,"TOKUGAWA"
"30",0.0348623815600735,0.831900744004221,0.0496787980854087,0.0678260996912702,0.0157319766590262,"COSMOS"
"31",0.821980231384982,0.0378618579841906,0.0115259520741796,0.0712226087529781,0.0574093498036698,"CENTAUR"
"32",0.833338897134918,0.033631438771356,0.0107733539637736,0.0632507174174625,0.0590055927124901,"CENTAUR"
"33",0.0594543800044392,0.101835335670235,0.0272136244071049,0.785906538008119,0.0255901219101017,"ODYSSEY"
"34",0.0392651560811897,0.227932869772036,0.0491565336056069,0.654381849193205,0.0292635913479631,"ODYSSEY"
"35",0.158423899126203,0.0886720105323441,0.0269196994094896,0.6873973224418,0.0385870684901641,"ODYSSEY"
"36",0.823332947879968,0.0193927957099348,0.00828005050128163,0.0538367945823751,0.0951574113264407,"CENTAUR"
"37",0.644156581509469,0.0841982289759351,0.0268890459408471,0.115937506896619,0.128818636677131,"CENTAUR"
"38",0.00702010673756083,0.142456129156577,0.806088384289748,0.0349267124821234,0.00950866733398999,"EBONY"
"39",0.0643443634960147,0.100489733540515,0.0276377757393803,0.78027452731204,0.0272535999120501,"ODYSSEY"
"40",0.0261964309698866,0.834894482295983,0.0475093890652563,0.073467461911727,0.0179322357571475,"COSMOS"
"41",0.0228307115025185,0.797996656270677,0.046400608921848,0.112833025565711,0.0199389977392452,"COSMOS"
"42",0.770858235531084,0.0532033646670997,0.0166045644503722,0.0746635150933884,0.0846703202580558,"CENTAUR"
"43",0.246568808238157,0.067387290436717,0.020109250345892,0.15296257445872,0.512972076520513,"TOKUGAWA"
