"CENTAUR","COSMOS","EBONY","TOKUGAWA","FinalVote"
"1",0.321757802629252,0.0450750364744256,0.00473409361723452,0.488956692172755,"TOKUGAWA"
"2",0.813771475999304,0.0386627801474932,0.00485048130551875,0.0754932551820216,"CENTAUR"
"3",0.913912572141573,0.00510643218688377,0.000112239963510427,0.0389954659257668,"CENTAUR"
"4",0.444911315834961,0.0122484262237653,0.000265342588443925,0.401120098114878,"CENTAUR"
"5",0.0685995187594191,0.111801233824393,0.0193836512917945,0.0266897888651052,"COSMOS"
"6",0.399531431124614,0.0240960871065971,0.00103027235102204,0.435905558275344,"TOKUGAWA"
"7",0.846536054346848,0.0143104679866662,0.000377986117875646,0.0622036559183694,"CENTAUR"
"8",0.901008988961295,0.010257471540406,0.00032923534643785,0.0445626175473018,"CENTAUR"
"9",0.0868824192988069,0.803127979827613,0.0134667334893378,0.0205760872061752,"COSMOS"
"10",0.873422887913902,0.00713600450827552,0.000134274100543646,0.0519428005410454,"CENTAUR"
"11",0.830955093851883,0.030394281694635,0.00222717398706503,0.0687272176067489,"CENTAUR"
"12",0.32499433585335,0.0288895738812141,0.00218909955805278,0.49234679456684,"TOKUGAWA"
"13",0.021603022111944,0.194382834952033,0.73632306264805,0.0112370050005784,"EBONY"
"14",0.0782177048647214,0.107925546313545,0.0170752990703597,0.0280986029696298,"COSMOS"
"15",0.858939055120762,0.0142920213910041,0.000372227798630162,0.0561632177893401,"CENTAUR"
"16",0.132815324989531,0.71974860887852,0.00856310478608911,0.0284945380633131,"COSMOS"
"17",0.863810338198346,0.0223604383109974,0.00132368075897035,0.0575523930857095,"CENTAUR"
"18",0.0945427901370378,0.0681725539029353,0.010216277193739,0.0295787919008508,"CENTAUR"
"19",0.0418211522401504,0.199586201730829,0.701946887920592,0.0150379206165362,"EBONY"
"20",0.0800929848154343,0.0960873905144067,0.0154695489771268,0.0285269663639038,"COSMOS"
"21",0.781643740917087,0.0591126975054361,0.00755130868360943,0.0784644906728883,"CENTAUR"
"22",0.0985974960376483,0.130604425418857,0.0303054257254766,0.0293289051590671,"COSMOS"
"23",0.782560569513635,0.0584739846969939,0.00742831733452849,0.0781891332126997,"CENTAUR"
"24",0.122998285653805,0.0739177414152081,0.00918665687324274,0.0297189294122551,"CENTAUR"
"25",0.232645298619992,0.101365948290237,0.0211241691137247,0.504566438059921,"TOKUGAWA"
"26",0.0787674829067822,0.772591266690859,0.00768096670408922,0.0239414639574015,"COSMOS"
"27",0.176117490954261,0.0122909556975984,0.000189985059470286,0.0224640081925015,"CENTAUR"
"28",0.0268396056291467,0.889244000366744,0.0299627076745144,0.0110445782676579,"COSMOS"
"29",0.283436034672747,0.0504036334360144,0.00385219136854397,0.496469350220248,"TOKUGAWA"
"30",0.127020273401912,0.747022321314129,0.00921504146609639,0.0254880247628552,"COSMOS"
"31",0.868142830935284,0.0169135901107243,0.000687697269669564,0.0571429116170207,"CENTAUR"
"32",0.906207937647993,0.0101291344882317,0.000391961519893629,0.0430332117419272,"CENTAUR"
"33",0.10691377433737,0.0794313433543682,0.0116953696556412,0.0305036921813654,"CENTAUR"
"34",0.0770696896563302,0.0831173746536965,0.0139882806450225,0.0287823753123092,"COSMOS"
"35",0.0912438059000795,0.0349856991456291,0.0015925568009938,0.0240720522893678,"CENTAUR"
"36",0.915215913442919,0.00834749653349692,0.000265418670005864,0.0391743563116018,"CENTAUR"
"37",0.858740037467708,0.0141544862244758,0.000392236001243357,0.056835242681032,"CENTAUR"
"38",0.0660402593517345,0.274057158749702,0.522057146010732,0.0290979300215188,"EBONY"
"39",0.145305101231119,0.0385111052393558,0.003225034282058,0.0301743977710555,"CENTAUR"
"40",0.0555449366409039,0.824154650142441,0.0128995604063275,0.0192343546929711,"COSMOS"
"41",0.112934541142799,0.702563815636641,0.00637785174157309,0.0315493246119036,"COSMOS"
"42",0.885791139083901,0.0163174087687223,0.000782412314576685,0.0507308074556942,"CENTAUR"
"43",0.243978607604741,0.0952780562816503,0.0196958812242002,0.506742253435406,"TOKUGAWA"
"44",0.857995791833145,0.0330195148017626,0.00318471853152704,0.0571072279400444,"CENTAUR"
"45",0.883534540981626,0.00965609027227628,0.000190106473682851,0.0475308564795787,"CENTAUR"
"46",0.0239474137555439,0.893203392570006,0.0331478144708348,0.0102512882812894,"COSMOS"
"47",0.802006069526614,0.0401864684572939,0.00378965126920454,0.0756968568332239,"CENTAUR"
"48",0.0258923927967919,0.887518186730444,0.0337801755302124,0.0110669135007023,"COSMOS"
"49",0.909473571612478,0.0125473453707668,0.00076040756275669,0.042778744315427,"CENTAUR"
"50",0.0303696664731672,0.884564626567927,0.0295645173393888,0.0119223155917822,"COSMOS"
"51",0.0259065311067247,0.889283372627781,0.027053758886205,0.0110499937949231,"COSMOS"
