"CENTAUR","COSMOS","EBONY","ODYSSEY","TOKUGAWA","final"
"1",0.285864608909155,0.0771659066994037,0.0213960014030165,0.118204138898632,0.497369344089793,"TOKUGAWA"
"2",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"3",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"4",0.285864608909155,0.0771659066994037,0.0213960014030165,0.118204138898632,0.497369344089793,"TOKUGAWA"
"5",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"6",0.285864608909155,0.0771659066994037,0.0213960014030165,0.118204138898632,0.497369344089793,"TOKUGAWA"
"7",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"8",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"9",0.0342528315674096,0.869017172086226,0.0443916697113628,0.0401899890390939,0.0121483375959079,"COSMOS"
"10",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"11",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"12",0.285864608909155,0.0771659066994037,0.0213960014030165,0.118204138898632,0.497369344089793,"TOKUGAWA"
"13",0.0219042056074766,0.153913551401869,0.784754672897196,0.0294976635514019,0.00992990654205608,"EBONY"
"14",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"15",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"16",0.0342528315674096,0.869017172086226,0.0443916697113628,0.0401899890390939,0.0121483375959079,"COSMOS"
"17",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"18",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"19",0.0219042056074766,0.153913551401869,0.784754672897196,0.0294976635514019,0.00992990654205608,"EBONY"
"20",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"21",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"22",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"23",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"24",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"25",0.285864608909155,0.0771659066994037,0.0213960014030165,0.118204138898632,0.497369344089793,"TOKUGAWA"
"26",0.0342528315674096,0.869017172086226,0.0443916697113628,0.0401899890390939,0.0121483375959079,"COSMOS"
"27",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"28",0.0342528315674096,0.869017172086226,0.0443916697113628,0.0401899890390939,0.0121483375959079,"COSMOS"
"29",0.285864608909155,0.0771659066994037,0.0213960014030165,0.118204138898632,0.497369344089793,"TOKUGAWA"
"30",0.0342528315674096,0.869017172086226,0.0443916697113628,0.0401899890390939,0.0121483375959079,"COSMOS"
"31",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"32",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
"33",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"34",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"35",0.0964426877470356,0.0998306041784303,0.0231507622811971,0.750310559006211,0.0302653867871259,"ODYSSEY"
"36",0.83202914999104,0.0408577743265038,0.00704856340720387,0.0534615614359955,0.0666029508392569,"CENTAUR"
